id,barthez rouge1 p,barthez rouge1 r,barthez rouge1 f1,barthez rouge2 p,barthez rouge2 r,barthez rouge2 f1,barthez rougel p,barthez rougel r,barthez rougel f1,barthez bertscore p,barthez bertscore r,barthez bertscore f1,openassistant rouge1 p,openassistant rouge1 r,openassistant rouge1 f1,openassistant rouge2 p,openassistant rouge2 r,openassistant rouge2 f1,openassistant rougel p,openassistant rougel r,openassistant rougel f1,openassistant bertscore p,openassistant bertscore r,openassistant bertscore f1,chatgpt rouge1 p,chatgpt rouge1 r,chatgpt rouge1 f1,chatgpt rouge2 p,chatgpt rouge2 r,chatgpt rouge2 f1,chatgpt rougel p,chatgpt rougel r,chatgpt rougel f1,chatgpt bertscore p,chatgpt bertscore r,chatgpt bertscore f1
Debate_Data/Débat Zemmour Mélenchon/Résumés + etc/Partie 1 - La france est elle en danger/Partie 1.2 - Insécurité,0.3577981651376147,0.34310850439882695,0.3502994011976048,0.07975460122699386,0.07647058823529412,0.0780780780780781,0.1559633027522936,0.18681318681318682,0.17,0.6538781,0.7224616,0.6864611,0.3385012919896641,0.47985347985347987,0.39696969696969703,0.10880829015544041,0.24,0.1497326203208556,0.13953488372093023,0.3068181818181818,0.19182948490230906,0.7181612,0.74519396,0.72680086,0.4032258064516129,0.6410256410256411,0.49504950495049505,0.15011547344110854,0.37142857142857144,0.2138157894736842,0.22350230414746544,0.2844574780058651,0.2503225806451613,0.76854074,0.7929653,0.780562
Debate_Data/Débat Zemmour Mélenchon/Résumés + etc/Partie 1 - La france est elle en danger/Partie 1.1 - La france a t_elle tout fait pour faire intégrer les immigrants,0.3411764705882353,0.44130434782608696,0.38483412322274885,0.10101010101010101,0.13071895424836602,0.11396011396011396,0.14789915966386555,0.19130434782608696,0.16682464454976303,0.69120723,0.7361366,0.71296483,0.4771084337349398,0.43043478260869567,0.45257142857142857,0.14492753623188406,0.13071895424836602,0.13745704467353953,0.21686746987951808,0.1956521739130435,0.20571428571428574,0.7230549,0.7568164,0.73955053,0.3527885862516213,0.591304347826087,0.4419171405361495,0.09090909090909091,0.29045643153526973,0.1384767556874382,0.1608300907911803,0.26956521739130435,0.20146222583265638,0.7613392,0.7664895,0.76390564
Debate_Data/Débat Zemmour Mélenchon/Résumés + etc/Partie 1 - La france est elle en danger/Partie 1.3 - La france risque t_elle un déclassement à l_échelle internationale,0.29767441860465116,0.40764331210191085,0.34408602150537637,0.08411214953271028,0.11538461538461539,0.09729729729729729,0.12093023255813953,0.16560509554140126,0.13978494623655913,0.63779527,0.6749532,0.6558484,0.3967391304347826,0.5,0.44242424242424244,0.14207650273224043,0.16666666666666666,0.1533923303834808,0.22282608695652173,0.2808219178082192,0.24848484848484848,0.7314168,0.7420379,0.73668903,0.36824324324324326,0.7465753424657534,0.4932126696832579,0.18983050847457628,0.38620689655172413,0.2545454545454545,0.25675675675675674,0.5205479452054794,0.3438914027149321,0.7564143,0.789222,0.77246994
Debate_Data/Débat Zemmour Mélenchon/Résumés + etc/Partie 2 - Comment réduire la fracture sociale/La france en 2050,0.42857142857142855,0.3891213389121339,0.4078947368421053,0.12962962962962962,0.11764705882352941,0.12334801762114536,0.17511520737327188,0.18536585365853658,0.18009478672985782,0.68367946,0.6933968,0.68546265,0.41735537190082644,0.4926829268292683,0.4519015659955257,0.0954356846473029,0.11274509803921569,0.10337078651685394,0.16942148760330578,0.17154811715481172,0.17047817047817046,0.73943114,0.7442011,0.7418084,0.45325779036827196,0.6694560669456067,0.5405405405405405,0.19886363636363635,0.29411764705882354,0.23728813559322032,0.28611898016997167,0.4225941422594142,0.3412162162162162,0.732548,0.7651875,0.7485121
Debate_Data/Débat Zemmour Mélenchon/Résumés + etc/Partie 2 - Comment réduire la fracture sociale/Le pouvoir d_achat,0.43416370106761565,0.2646420824295011,0.3288409703504043,0.12142857142857143,0.07391304347826087,0.0918918918918919,0.21352313167259787,0.1301518438177874,0.16172506738544476,0.6686495,0.72085905,0.69377345,0.5011185682326622,0.4534412955465587,0.47608926673751323,0.1547085201793722,0.13995943204868155,0.14696485623003197,0.20134228187919462,0.19522776572668113,0.19823788546255505,0.7469311,0.7497638,0.7457205,0.703125,0.45546558704453444,0.5528255528255528,0.27899686520376177,0.18052738336713997,0.21921182266009853,0.334375,0.2165991902834008,0.2628992628992629,0.79541665,0.7667116,0.78080034
Debate_Data/Débat Zemmour Mélenchon/Résumés + etc/Partie 2 - Comment réduire la fracture sociale/L_abstention,0.36101083032490977,0.423728813559322,0.3898635477582846,0.09057971014492754,0.08169934640522876,0.0859106529209622,0.18050541516245489,0.16286644951140064,0.17123287671232879,0.63805926,0.68394816,0.6578736,0.5297297297297298,0.4152542372881356,0.4655581947743468,0.1358695652173913,0.10638297872340426,0.11933174224343676,0.21621621621621623,0.1694915254237288,0.19002375296912113,0.7400465,0.72016495,0.72997034,0.381057268722467,0.5635179153094463,0.454664914586071,0.1456953642384106,0.28085106382978725,0.19186046511627905,0.19823788546255505,0.3813559322033898,0.2608695652173913,0.75356394,0.79121536,0.77193075
Debate_Data/Débat Zemmour Mélenchon/Résumés + etc/Partie 2 - Comment réduire la fracture sociale/Baisse du CO2,0.40070921985815605,0.3333333333333333,0.3639291465378422,0.12455516014234876,0.10355029585798817,0.11308562197092084,0.2127659574468085,0.17699115044247787,0.1932367149758454,0.68429625,0.72672224,0.7048714,0.42424242424242425,0.41297935103244837,0.4185351270553064,0.09422492401215805,0.3163265306122449,0.1451990632318501,0.22424242424242424,0.2182890855457227,0.2212257100149477,0.7294462,0.77446246,0.7432601,0.43207126948775054,0.5722713864306784,0.49238578680203043,0.17857142857142858,0.23668639053254437,0.2035623409669211,0.21158129175946547,0.28023598820059,0.24111675126903553,0.72656894,0.7790276,0.7479161
Debate_Data/Macron_lepen_2_Alignmeet/Partie 2 - International/Partie 2.1 - Ukraine,0.554140127388535,0.375,0.4473007712082262,0.16932907348242812,0.11447084233261338,0.1365979381443299,0.16560509554140126,0.24413145539906103,0.19734345351043645,0.71244514,0.7142073,0.71332514,0.4222222222222222,0.5533980582524272,0.4789915966386554,0.14869888475836432,0.1951219512195122,0.1687763713080169,0.2111111111111111,0.2766990291262136,0.2394957983193277,0.71949077,0.747347,0.73315436,0.5386266094420601,0.540948275862069,0.539784946236559,0.15913978494623657,0.36097560975609755,0.2208955223880597,0.21030042918454936,0.47572815533980584,0.2916666666666667,0.75525594,0.7868285,0.76768345
Debate_Data/Macron_lepen_2_Alignmeet/Partie 2 - International/Partie 2.2 - UE,0.48854961832061067,0.4444444444444444,0.46545454545454545,0.19540229885057472,0.17770034843205576,0.18613138686131386,0.24427480916030533,0.2222222222222222,0.23272727272727273,0.66653705,0.7007729,0.6830323,0.34334763948497854,0.4166666666666667,0.37647058823529417,0.10344827586206896,0.1256544502617801,0.11347517730496452,0.18025751072961374,0.21875,0.19764705882352943,0.6964048,0.7247744,0.71030647,0.5221987315010571,0.6024390243902439,0.5594563986409966,0.22033898305084745,0.3623693379790941,0.2740447957839262,0.24312896405919662,0.3993055555555556,0.302233902759527,0.75763845,0.810954,0.78339016
Debate_Data/Macron_lepen_2_Alignmeet/Partie 4 - Hôpital,0.44711538461538464,0.3079470198675497,0.36470588235294116,0.13526570048309178,0.09032258064516129,0.10831721470019341,0.22596153846153846,0.15112540192926044,0.18111753371868974,0.6757136,0.69641125,0.6859063,0.4658385093167702,0.24115755627009647,0.3177966101694915,0.1125,0.05806451612903226,0.07659574468085106,0.2857142857142857,0.14790996784565916,0.19491525423728812,0.694201,0.68467116,0.6894031,0.451271186440678,0.7052980132450332,0.5503875968992248,0.208067940552017,0.32558139534883723,0.2538860103626943,0.2648305084745763,0.4139072847682119,0.32299741602067183,0.77976334,0.8025451,0.79099023
