ES2002a -> 4362
ES2002b -> 10877
ES2002c -> 11386
ES2002d -> 12536
ES2005a -> 1251
ES2005b -> 9620
ES2005c -> 11032
ES2005d -> 6727
ES2006a -> 4308
ES2006b -> 9314
ES2006c -> 9895
ES2006d -> 10358
ES2007a -> 4245
ES2007b -> 6453
ES2007c -> 9422
ES2007d -> 5625
ES2008a -> 3894
ES2008b -> 9251
ES2008c -> 9125
ES2008d -> 12535
ES2009a -> 6794
ES2009b -> 6145
ES2009c -> 8672
ES2009d -> 9983
ES2010a -> 2547
ES2010b -> 7374
ES2010c -> 8439
ES2010d -> 5251
ES2012a -> 3712
ES2012b -> 7956
ES2012c -> 9425
ES2012d -> 3866
ES2013a -> 2516
ES2013b -> 7441
ES2013c -> 8447
ES2013d -> 6929
ES2015a -> 4000
ES2015b -> 11271
ES2015c -> 10090
ES2015d -> 10169
ES2016a -> 4480
ES2016b -> 7610
ES2016c -> 7139
ES2016d -> 6074
IS1000a -> 5089
IS1000b -> 8834
IS1000c -> 8032
IS1000d -> 12361
IS1001a -> 2851
IS1001b -> 7709
IS1001c -> 5443
IS1001d -> 2958
IS1002b -> 11049
IS1002c -> 9640
IS1002d -> 5363
IS1003a -> 2756
IS1003b -> 5981
IS1003c -> 7758
IS1003d -> 10485
IS1004a -> 2254
IS1004b -> 8879
IS1004c -> 9864
IS1004d -> 8551
IS1005a -> 2794
IS1005b -> 7837
IS1005c -> 7221
IS1006a -> 3481
IS1006b -> 8097
IS1006c -> 7557
IS1006d -> 9778
IS1007a -> 3298
IS1007b -> 4781
IS1007c -> 7852
IS1007d -> 7658
TS3005a -> 4945
TS3005b -> 11844
TS3005c -> 10220
TS3005d -> 15933
TS3008a -> 4913
TS3008b -> 11031
TS3008c -> 11135
TS3008d -> 13758
TS3009a -> 6695
TS3009b -> 12632
TS3009c -> 12241
TS3009d -> 11496
TS3010a -> 2040
TS3010b -> 5809
TS3010c -> 6923
TS3010d -> 5731
TS3011a -> 5151
TS3011b -> 9426
TS3011c -> 9711
TS3011d -> 7860
TS3012a -> 3353
TS3012b -> 13161
TS3012d -> 11095
